Place,Artist,Song,Length,BPM,Year,Genre
250,Black Sabbath,Paranoid,2:45,82.1,1969,Rock 1960s
251,Bobby Darin,Mack the Knife,3:04,84.7,1959,Easy
252,Clyde McPhatter�&�The Drifters,Money Honey,2:59,123.2,1990,Easy
253,Mott the Hoople,All the Young Dudes,3:32,154.8,1972,Rock 1970s
254,AC/DC,Highway to Hell,3:29,116,1979,Rock 1970s
255,Blondie,Heart of Glass,4:34,114.5,1979,Dance 1970s
256,Radiohead,Paranoid Android,6:23,163.6,1997,Rock 1990s
257,The Troggs,Wild Thing,2:35,102.1,1966,Rock 1960s
258,The Who,I Can See for Miles,4:21,132.7,1967,Rock 1960s
259,Jeff Buckley,Hallelujah,6:53,93.1,1994,TBD
260,The Dells,Oh What a Nite,2:54,111.3,1988,TBD
261,Stevie Wonder,Higher Ground,3:11,125.3,1973,Rock 1980s
262,Smokey Robinson�and�The Miracles,Ooo Baby Baby,2:48,111.2,1965,TBD
263,The Crystals,He's a Rebel,2:24,115.9,1962,Dance 1960s
264,Randy Newman,Sail Away,2:50,89.2,1972,TBD
265,Archie Bell & The Drells,Tighten Up,3:14,124.5,1991,TBD
266,The Ronettes,Walking in the Rain,3:16,108,1964,TBD
267,New York Dolls,Personality Crisis,3:43,155.6,1973,TBD
268,U2,Sunday Bloody Sunday [Live],5:17,109.4,1983,Rock 1980s
269,The Modern Lovers,Roadrunner,4:06,152.1,1976,TBD
270,George Jones,He Stopped Loving Her Today,3:16,112.3,2005,Country
271,The Beach Boys,Sloop John B,2:54,124.9,1966,Slow
272,Chuck Berry,Sweet Little Sixteen,3:00,88.6,1958,Rock 1950s
273,The Beatles,Something,3:02,132.4,1969,Rock 1960s
274,Jefferson Airplane,Somebody to Love,2:55,131.2,1967,Rock 1960s
275,Bruce Springsteen,Born in the U.S.A.,4:37,123.6,1984,Rock 1980s
276,The Staple Singers,I'll Take You There,3:17,101.5,1989,TBD
277,David Bowie,Ziggy Stardust,3:13,160.7,1972,Rock 1970s
278,The Cure,Pictures of You,4:46,86.3,1989,Rock 1990s
279,The Dixie Cups,Chapel of Love,2:45,125.7,1964,Rock 1960s
280,Bill Withers,Ain't No Sunshine,2:03,159.5,2002,TBD
281,Stevie Wonder,You Are the Sunshine of My Life,2:51,134,1973,Slow
282,Joni Mitchell,Help Me,3:24,163.4,1974,TBD
283,Blondie,Call Me,3:32,142,1980,Dance 1980s
284,Elvis Costello,"(What's So Funny 'Bout) Peace, Love & Understanding",3:32,141.8,1999,TBD
285,Howlin' Wolf,Smokestack Lightnin,3:08,145.2,2003,TBD
286,Pavement,Summer Babe [Winter Version],3:16,98.4,1992,TBD
287,Run-DMC,Walk This Way,5:11,105.6,1986,R&B 1980s
288,Barrett Strong,Money (That's What I Want),2:27,141.1,1978,Rock 1970s
289,The Beatles,Can't Buy Me Love,2:13,85.3,1966,Rock 1960s
290,Eminem,Stan,5:31,160,2005,TBD
291,The Zombies,She's Not There,2:25,131.4,1964,TBD
292,The Clash,Train in Vain,3:10,122.9,1980,Rock 1980s
293,Al Green,Tired of Being Alone,2:52,98.3,1971,TBD
294,Led Zeppelin,Black Dog,4:54,82.6,1971,Rock 1970s
295,The Rolling Stones,Street Fighting Man,3:16,128.2,1968,TBD
296,Bob Marley & The Wailers,Get Up Stand Up,3:19,156.3,1975,Reggae
297,Neil Young,Heart of Gold,3:07,85.5,1972,Slow
298,Blondie,One Way or Another,3:35,162.1,1979,Dance 1970s
299,Prince,Sign 'O' the Times,3:42,98.9,1993,Rock 1980s
300,Madonna,Like a Prayer,5:27,111.9,1989,Dance 1980s
301,Rod Stewart,Do Ya Think I'm Sexy?,5:28,112,1979,Rock 1970s
302,Willie Nelson,Blue Eyes Crying in the Rain,2:20,116.8,1998,Country
303,The Rolling Stones,Ruby Tuesday,3:16,104.9,1967,TBD
304,The Beatles,With a Little Help From My Friends,2:43,112.5,1969,Rock 1960s
305,James Brown,Say It Loud (I'm Back And I'm Proud),2:47,114.8,1991,TBD
306,The Jam,That's Entertainment,3:31,143.2,1991,TBD
307,The Teenagers�Featuring�Frankie Lymon,Why Do Fools Fall in Love,2:17,88.1,1956,Rock 1950s
308,Jackie Wilson,Lonely Teardrops,2:42,139.2,1959,Rock 1950s
309,Tina Turner,What's Love Got to Do With It,3:49,97.9,1984,Slow
310,Black Sabbath,Iron Man,3:27,156.8,1970,Rock 1970s
311,Everly Brothers,Wake Up Little Susie,2:02,91.2,1957,Rock 1950s
312,Roy Orbison,In Dreams,2:48,107.9,1963,Slow
313,Screamin' Jay Hawkins,I Put a Spell on You,2:28,86.8,1990,TBD
314,Pink Floyd,Comfortably Numb,6:21,127,1980,Slow
315,The Animals,Don't Let Me Be Misunderstood,2:27,113.5,2003,TBD
316,Pink Floyd,Wish You Were Here,5:10,121.8,1975,Slow
317,Jimmy Cliff,Many Rivers to Cross,3:00,128,1969,TBD
318,Elvis Costello,Alison,3:21,88.6,1978,TBD
319,Alice Cooper,School's Out,3:28,134.2,1972,Rock 1970s
320,Led Zeppelin,Heartbreaker,4:14,112.4,1990,Rock 1970s
321,Neil Young,Cortez the Killer,7:32,113.9,1977,TBD
322,Public Enemy,Fight the Power,4:36,106,2005,TBD
323,Patty Smyth,Dancing Barefoot,4:16,116.9,1992,TBD
324,The Supremes,Baby Love,2:36,135.8,1964,Dance 1960s
325,The Young Rascals,Good Lovin',2:29,98.4,1966,Rock 1960s
326,James Brown,Sex Machine,5:15,108.4,1970,Rock 1970s
327,The Impressions,For Your Precious Love,2:46,108.1,2001,Easy
328,The Doors,The End,11:42,108.2,1985,Rock 1970s
329,"Earth, Wind & Fire",That's the Way of the World,5:46,82.1,1978,TBD
330,Queen,We Will Rock You,2:00,140.7,1977,Rock 1970s
331,Bonnie Raitt,I Can't Make You Love Me,4:45,123,1991,Easy
332,Bob Dylan,Subterranean Homesick Blues,2:16,86.8,1965,Rock 1960s
333,Norman Greenbaum,Spirit in the Sky,4:01,128.4,1969,TBD
334,The Rolling Stones,Wild Horses,5:45,144.2,1971,TBD
335,The Velvet Underground,Sweet Jane,3:15,105.6,1998,TBD
336,Aerosmith,Walk This Way,3:32,108,1975,Rock 1980s
337,Michael Jackson,Beat It,4:19,138.6,1983,Dance 1980s
338,Wings,Maybe I'm Amazed,3:51,160.9,2001,TBD
339,The Supremes,You Keep Me Hanging On,2:41,127.6,1968,TBD
340,The Who,Baba O'Riley,5:07,116.2,1971,Rock 1970s
341,Jimmy Cliff,The Harder They Come,3:06,98.8,1972,TBD
342,Dion,Runaround Sue,2:39,157.6,1961,Rock 1960s
343,LaVern Baker,Jim Dandy,2:13,168.8,1991,TBD
344,Janis Joplin,Piece of My Heart,4:12,158.4,1968,Rock 1960s
345,Ritchie Valens,La Bamba,2:04,151.5,1959,Rock 1950s
346,2Pac,California Love,4:47,91.5,1996,R&B 1990s
347,Elton John,Candle in the Wind,3:48,124.7,1974,Rock 1970s
348,The Isley Brothers,That Lady (Part 1 & 2),5:34,128.2,1973,TBD
349,Ben E. King,Spanish Harlem,2:48,125.4,1961,Slow
350,Little Eva,Loco-Motion,2:28,127.5,1962,Rock 1960s
351,The Platters,Great Pretender,2:39,120.9,1955,Slow
352,Elvis Presley,All Shook Up,2:00,147,1957,Rock 1950s
353,Eric Clapton,Tears in Heaven,4:32,153.7,1992,Slow
354,Elvis Costello,Watching the Detective,3:41,134.6,1978,TBD
355,Creedence Clearwater Revival,Bad Moon Rising,2:19,89.7,1969,Rock 1960s
356,Eurythmics,Sweet Dreams,4:53,126,1983,Rock 1980s
357,Jimi Hendrix,Little Wing,2:23,141.6,1993,TBD
358,Martha Reeves & The Vandellas,Nowhere to Run,2:55,129.2,1965,Dance 1960s
359,Muddy Waters,Got My Mojo Working,2:50,113.3,1999,TBD
360,Roberta Flack,Killing Me Softly With His Song,4:47,121.8,1973,Slow
361,The Clash,Complete Control,3:13,87.4,1977,TBD
362,The Beatles,All You Need Is Love,3:48,104.7,1969,Rock 1960s
363,Box Tops,The Letter,2:00,138.2,1967,Rock 1960s
364,Bob Dylan,Highway 61 Revisited,3:30,136.8,1965,TBD
365,The Righteous Brothers,Unchained Melody,3:36,100.8,1966,Slow
366,Bee Gees,How Deep Is Your Love,4:00,105.1,1977,Slow
367,Cream,White Room,4:56,110.2,1968,Rock 1960s
368,Depeche Mode,Personal Jesus,5:48,130,1990,Rock 1990s
369,Bo Diddley,I'm a Man,3:02,102.4,1957,TBD
370,Jimi Hendrix,The Wind Cries Mary,3:22,153.8,1972,Rock 1970s
371,The Who,I Can't Explain,2:03,137.8,1965,Rock 1960s
372,Television,Marquee Moon,10:40,119.1,1977,TBD
373,Sam Cooke,(What A) Wonderful World,2:05,128.8,1960,Rock 1960s
374,Chuck Berry,Brown-Eyed Handsome Man,2:18,90.5,1957,TBD
375,Pink Floyd,Another Brick in the Wall (Part II),3:50,104.1,1980,Rock 1980s
376,Radiohead,Fake Plastic Trees,4:50,147.2,1995,Rock 1990s
377,Ray Charles,Hit the Road Jack,1:59,86.4,1961,Rock 1960s
378,U2,Pride (In the Name of Love),3:46,106.4,1984,Rock 1980s
379,R.E.M.,Radio Free Europe [Original Hib-Tone Single],3:49,83.1,1988,Rock 1980s
380,Elton John,Goodbye Yellow Brick Road,3:12,120.3,1973,Slow
381,Aaron Neville,Tell It Like It Is,2:38,95.4,1993,TBD
382,The Verve,Bitter Sweet Symphony,5:57,85.5,1997,TBD
383,The Allman Brothers Band,Whipping Post,5:22,97.3,1969,TBD
384,The Beatles,Ticket to Ride,3:10,123.9,1966,Rock 1960s
385,"Crosby, Stills, Nash & Young",Ohio,3:06,156.8,1970,TBD
386,Eric B. & Rakim,I Know You Got Soul,4:44,104.1,1987,TBD
387,Elton John,Tiny Dancer,6:16,145.4,1992,Rock 1980s
388,The Police,Roxanne,3:11,134.9,1979,Rock 1970s
389,The Temptations,Just My Imagination (Running Away With Me),3:50,92.4,1965,Rock 1960s
390,Four Tops,Baby I Need Your Lovin',2:44,121.4,2005,TBD
391,Freda Payne,Band of Gold,2:53,106.9,1984,Rock 1980s
392,Five Stairsteps,O-O-H Child,3:16,89,2001,TBD
393,The Lovin' Spoonful,Summer in the City,2:37,113,1966,Rock 1960s
394,Elvis Presley,Can't Help Falling in Love,3:00,114.2,1961,Slow
395,The Shangri-Las,Remember (Walking in the Sand),2:17,110.7,1987,TBD
396,Big Star,Thirteen,2:34,116.7,1978,TBD
397,Blue Oyster Cult,(Don't Fear) the Reaper,5:03,141.5,1976,Rock 1970s
398,Lynyrd Skynyrd,Sweet Home Alabama,4:44,98.1,1974,Rock 1970s
399,Metallica,Enter Sandman,5:31,124.2,1991,Rock 1990s
400,Paul Revere & The Raiders,Kicks,2:47,128,2000,TBD
401,The Shirelles,Tonight's the Night,2:02,117.4,1961,TBD
402,Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin),4:49,105.5,1970,Dance 1970s
403,Eddie Cochran,C'Mon Everybody,1:56,87.8,1959,Rock 1950s
404,Bob Dylan,Visions of Johanna,7:32,102.8,1985,TBD
405,Carpenters,We've Only Just Begun,3:05,89.6,1970,Easy
406,R. Kelly,I Believe I Can Fly,4:41,120.5,1996,TBD
407,Nirvana,In Bloom,4:15,156.7,2002,TBD
408,Aerosmith,Sweet Emotion,4:35,99.7,1991,Rock 1990s
409,Cream,Crossroads,4:13,131.6,1994,Rock 1980s
410,Pixies,Monkey Gone to Heaven,2:55,116.5,1989,TBD
411,Donna Summer,I Feel Love,5:52,126.7,1977,Disco
412,Bobbie Gentry,Ode to Billie Joe,4:13,120.1,1967,Country
413,Little Richard,The Girl Can't Help It,2:33,86.1,1956,TBD
414,The Coasters,Young Blood,2:25,109.2,1957,TBD
415,Four Tops,I Can't Help Myself,2:44,128,1965,Rock 1960s
416,Don Henley,Boys of Summer,4:46,88.5,1984,Rock 1980s
417,N.W.A.,Fuck Tha Police,5:45,98.6,1989,TBD
418,"Crosby, Stills & Nash",Suite: Judy Blue Eyes,7:29,143,1971,TBD
419,Dr. Dre,Nuthin' but a 'G' Thang,4:00,94.7,1993,R&B 1990s
420,The Isley Brothers,It's Your Thing,2:47,92.7,1984,TBD
421,Billy Joel,Piano Man,5:37,103.2,1974,Slow
422,The Kinks,Lola,4:08,149.4,1970,Rock 1970s
423,Elvis Presley,Blue Suede Shoes,1:59,95.6,1956,Rock 1950s
424,The Rolling Stones,Tumbling Dice,3:39,110.6,1972,TBD
425,The Smiths,"William, It Was Really Nothing",2:09,131,1984,Rock 1970s
426,Deep Purple,Smoke on the Water,5:39,114,1973,Rock 1970s
427,U2,New Year's Day,5:35,133.2,1983,Rock 1980s
428,Mitch Ryder & The Detroit Wheels,Devil With a Blue Dress on - Good Golly Miss Molly,3:30,159,1966,Rock 1960s
429,Solomon Burke,Everybody Needs Somebody to Love,2:44,149.8,1964,TBD
430,The Clash,(White Man) in Hammersmith Palais,4:01,102.8,1978,TBD
431,Fats Domino,Ain't That a Shame,2:26,123.2,1955,Rock 1950s
432,Gladys Knight and The Pips,Midnight Train to Georgia,4:37,90.8,1973,Dance 1970s
433,Led Zeppelin,Ramble On,4:29,99.1,1969,Rock 1960s
434,Wilson Pickett,Mustang Sally,3:02,110,1966,Rock 1960s
435,The Rolling Stones,Beast of Burden,4:27,100.9,1978,TBD
436,Love,Alone Again Or,3:16,114.1,1967,TBD
437,Elvis Presley,Love Me Tender,2:46,108.3,1956,Slow
438,The Stooges,I Wanna Be Your Dog,3:10,120.9,1969,TBD
439,John Mellencamp,Pink Houses,4:45,115.5,1983,Rock 1980s
440,Salt 'N' Pepa,Push It,4:35,128.1,1987,R&B 1980s
441,The Dell-Vikings,Come Go With Me,2:39,125.2,1957,Rock 1950s
442,Little Richard,Keep a Knockin',2:22,119.9,1958,TBD
443,Bob Marley & The Wailers,I Shot the Sheriff,4:41,96.7,1975,Reggae
444,Sonny & Cher,I Got U Babe,3:09,110.4,1965,Rock 1960s
445,Nirvana,Come as You Are,3:37,120.9,1991,Rock 1990s
446,Toots & The Maytals,Pressure Drop,3:44,147.6,1972,TBD
447,The Shangri-Las,Leader of the Pack,2:51,119.1,1964,Rock 1960s
448,The Velvet Underground,Heroin,7:12,131.8,2005,TBD
449,The Beatles,Penny Lane,3:01,113.8,1969,Rock 1960s
450,Glen Campbell,By the Time I Get to Phoenix,2:46,87.6,2001,TBD
451,Chubby Checker,The Twist,2:37,155.5,1961,Rock 1960s
452,Sam Cooke,Cupid,2:31,120.1,1960,TBD
453,Guns N' Roses,Paradise City,6:46,101.2,1989,Rock 1980s
454,George Harrison,My Sweet Lord,4:38,121.5,1970,Rock 1970s
455,Nirvana,All Apologies,3:46,116.4,1993,Rock 1990s
456,Lloyd Price,Stagger Lee,2:21,135.6,1959,Rock 1950s
457,Ramones,Sheena Is a Punk Rocker,2:48,88.1,1977,TBD
458,Sam & Dave,Soul Man,2:37,112.6,1967,Dance 1960s
459,Muddy Waters,Rollin' Stone,3:08,84.8,1988,TBD
460,The Chiffons,One Fine Day,2:09,89.4,1963,Easy
461,Prince,Kiss,3:47,111.5,1986,Dance 1980s
462,The Staple Singers,Respect Yourself,3:34,109.9,1990,TBD
463,The Beatles,Rain,3:02,105.5,1988,TBD
464,Four Tops,Standing in the Shadows of Love,2:39,114,1992,TBD
465,Cheap Trick,Surrender,4:12,134.7,1978,Rock 1980s
466,Del Shannon,Runaway,2:18,152.1,1961,Rock 1960s
467,Guns N' Roses,Welcome to the Jungle,4:32,124,1988,Rock 1980s
468,The Stooges,Search And Destroy,3:29,107.4,1973,TBD
469,Carole King,It's Too Late,3:54,103.5,1971,Slow
470,Joni Mitchell,Free Man in Paris,3:03,162.5,1974,TBD
471,Willie Nelson,On the Road Again,2:33,110.5,1980,Country
472,The Supremes,Where Did Our Love Go,2:32,135.8,1964,Dance 1960s
473,Aretha Franklin,Do Right Woman - Do Right Man,3:13,131.4,2002,TBD
474,Funkadelic,One Nation Under a Groove,7:28,122.4,1978,TBD
475,Beastie Boys,Sabotage,2:59,84,1994,Rock 1990s
476,Foreigner,I Want to Know What Love Is,5:00,161.3,1984,Slow
477,Rick James,Super Freak,3:25,132.8,1981,Dance 1980s
478,Jefferson Airplane,White Rabbit,2:32,105.5,1967,Rock 1960s
479,LaBelle,Lady Marmalade,3:16,117.4,1975,Disco
480,Van Morrison,Into the Mystic,3:27,85.2,1970,Slow
481,David Bowie,Young Americans,5:11,85,1975,Rock 1970s
482,Alice Cooper,I'm Eighteen,2:57,97.9,1971,TBD
483,The Cure,Just Like Heaven,3:31,151.7,1987,Rock 1980s
484,Joan Jett & The Blackhearts,I Love Rock 'N Roll,2:55,94.7,1982,Rock 1980s
485,Paul Simon,Graceland,4:51,117.9,1986,TBD
486,The Smiths,How Soon Is Now?,6:46,95.4,1984,Rock 1980s
487,The Drifters,Under the Boardwalk,2:40,124.5,1964,Slow
488,Fleetwood Mac,Rhiannon,4:11,129.1,1975,Rock 1980s
489,Gloria Gaynor,I Will Survive,3:17,117.1,1979,Disco
490,The Rolling Stones,Brown Sugar,3:46,128.3,1971,Rock 1970s
491,Dusty Springfield,You Don't Have to Say You Love Me,2:47,111.9,1966,TBD
492,Jackson Browne,Running on Empty,4:47,136.5,1996,Rock 1990s
493,The Crystals,Then He Kissed Me,2:28,134.6,1963,Rock 1960s
494,The Eagles,Desperado,3:32,121.9,1972,Slow
495,Smokey Robinson�and�The Miracles,Shop Around,2:44,135.5,1983,Rock 1970s
496,The Rolling Stones,Miss You,4:48,110.3,1978,TBD
497,Weezer,Buddy Holly,2:40,121.2,1994,Rock 1990s
498,Brook Benton,Rainy Night in Georgia,3:59,137.3,1970,Slow
499,Thin Lizzy,The Boys Are Back in Town,4:28,120.6,1976,Rock 1970s
500,Boston,More Than a Feeling,4:45,109,1976,Rock 1970s
